Date,Open,High,Low,Close
07/13/2022,3779.67,3829.44,3759.07,3801.78
07/14/2022,3763.99,3796.41,3721.56,3790.38
07/15/2022,3818,3863.62,3817.18,3863.16
07/18/2022,3883.79,3902.44,3818.63,3830.85
07/19/2022,3860.73,3939.81,3860.73,3936.69
07/20/2022,3935.32,3974.13,3922.03,3959.9
07/21/2022,3955.47,3999.29,3927.64,3998.95
07/22/2022,3998.43,4012.44,3938.86,3961.63
07/25/2022,3965.72,3975.3,3943.46,3966.84
07/26/2022,3953.22,3953.22,3910.74,3921.05
07/27/2022,3951.43,4039.56,3951.43,4023.61
07/28/2022,4026.13,4078.95,3992.97,4072.43
07/29/2022,4087.33,4140.15,4079.22,4130.29
08/01/2022,4112.38,4144.95,4096.02,4118.63
08/02/2022,4104.21,4140.47,4079.81,4091.19
08/03/2022,4107.96,4167.66,4107.96,4155.17
08/04/2022,4154.85,4161.29,4135.42,4151.94
08/05/2022,4115.87,4151.58,4107.31,4145.19
08/08/2022,4155.93,4186.62,4128.97,4140.06
08/09/2022,4133.11,4137.3,4112.09,4122.47
08/10/2022,4181.02,4211.03,4177.26,4210.24
08/11/2022,4227.4,4257.91,4201.41,4207.27
08/12/2022,4225.02,4280.47,4219.78,4280.15
08/15/2022,4269.37,4301.79,4256.9,4297.14
08/16/2022,4290.46,4325.28,4277.77,4305.2
08/17/2022,4280.4,4302.18,4253.08,4274.04
08/18/2022,4273.13,4292.53,4261.98,4283.74
08/19/2022,4266.31,4266.31,4218.7,4228.48
08/22/2022,4195.08,4195.08,4129.86,4137.99
08/23/2022,4133.09,4159.77,4124.03,4128.73
08/24/2022,4126.55,4156.56,4119.97,4140.77
08/25/2022,4153.26,4200.54,4147.59,4199.12
08/26/2022,4198.74,4203.04,4057.66,4057.66
08/29/2022,4034.58,4062.99,4017.42,4030.61
08/30/2022,4041.25,4044.98,3965.21,3986.16
08/31/2022,4000.67,4015.37,3954.53,3955
09/01/2022,3936.73,3970.23,3903.65,3966.85
09/02/2022,3996.39,4018.43,3906.21,3924.26
09/06/2022,3930.89,3942.55,3886.75,3908.19
09/07/2022,3909.43,3987.89,3906.03,3979.87
09/08/2022,3959.94,4010.5,3944.81,4006.18
09/09/2022,4022.94,4076.81,4022.94,4067.36
09/12/2022,4083.67,4119.28,4083.67,4110.41
09/13/2022,4037.12,4037.12,3921.28,3932.69
09/14/2022,3940.73,3961.94,3912.18,3946.01
